GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
io.github.siom79.jopenapicmp:jopenapicmp,jopenapicmp,JAsyncApiCmpUserException,0,9,0,0,0,4,0,2,0,2
io.github.siom79.jopenapicmp:jopenapicmp,jopenapicmp,Main,22,112,6,2,4,28,5,3,1,3
io.github.siom79.jopenapicmp:jopenapicmp,jopenapicmp,JAsyncApiCmpTechnicalException,5,4,0,0,2,2,1,1,1,1
io.github.siom79.jopenapicmp:jopenapicmp,jopenapicmp.validator,ValidationError,79,81,20,10,1,5,18,8,4,7
io.github.siom79.jopenapicmp:jopenapicmp,jopenapicmp.validator,ValidationError.ValidationErrorType,0,9,0,0,0,2,0,1,0,1
io.github.siom79.jopenapicmp:jopenapicmp,jopenapicmp.validator,Validator,23,43,6,2,6,15,5,4,1,4
io.github.siom79.jopenapicmp:jopenapicmp,jopenapicmp.validator,ValidationError.ValidationErrorBuilder,8,28,0,0,0,1,1,5,1,5
io.github.siom79.jopenapicmp:jopenapicmp,jopenapicmp.model.openapi,Schema,253,55,0,0,27,8,55,11,55,11
io.github.siom79.jopenapicmp:jopenapicmp,jopenapicmp.model.openapi,Encoding,5,0,0,0,2,0,2,0,2,0
io.github.siom79.jopenapicmp:jopenapicmp,jopenapicmp.model.openapi,PathItem,101,31,0,0,11,5,22,6,22,6
io.github.siom79.jopenapicmp:jopenapicmp,jopenapicmp.model.openapi,Callback,5,0,0,0,2,0,2,0,2,0
io.github.siom79.jopenapicmp:jopenapicmp,jopenapicmp.model.openapi,SecurityScheme,77,0,0,0,11,0,18,0,18,0
io.github.siom79.jopenapicmp:jopenapicmp,jopenapicmp.model.openapi,Response,24,32,0,0,1,6,5,5,5,5
io.github.siom79.jopenapicmp:jopenapicmp,jopenapicmp.model.openapi,Example,32,0,0,0,6,0,8,0,8,0
io.github.siom79.jopenapicmp:jopenapicmp,jopenapicmp.model.openapi,SecurityRequirement,5,0,0,0,2,0,2,0,2,0
io.github.siom79.jopenapicmp:jopenapicmp,jopenapicmp.model.openapi,MediaType,31,20,0,0,2,5,7,3,7,3
io.github.siom79.jopenapicmp:jopenapicmp,jopenapicmp.model.openapi,ServerVariable,8,29,0,0,1,6,1,7,1,7
io.github.siom79.jopenapicmp:jopenapicmp,jopenapicmp.model.openapi,Parameter,23,45,0,0,2,8,3,13,3,13
io.github.siom79.jopenapicmp:jopenapicmp,jopenapicmp.model.openapi,Info,16,52,0,0,1,9,1,15,1,15
io.github.siom79.jopenapicmp:jopenapicmp,jopenapicmp.model.openapi,Contact,8,24,0,0,1,5,1,7,1,7
io.github.siom79.jopenapicmp:jopenapicmp,jopenapicmp.model.openapi,Server,8,29,0,0,1,5,1,7,1,7
io.github.siom79.jopenapicmp:jopenapicmp,jopenapicmp.model.openapi,Components,88,57,0,0,1,12,20,2,20,2
io.github.siom79.jopenapicmp:jopenapicmp,jopenapicmp.model.openapi,OpenApi,60,50,0,0,6,7,12,10,12,10
io.github.siom79.jopenapicmp:jopenapicmp,jopenapicmp.model.openapi,Link,69,0,0,0,9,0,14,0,14,0
io.github.siom79.jopenapicmp:jopenapicmp,jopenapicmp.model.openapi,OAuthFlows,41,0,0,0,7,0,10,0,10,0
io.github.siom79.jopenapicmp:jopenapicmp,jopenapicmp.model.openapi,RequestBody,37,0,0,0,6,0,8,0,8,0
io.github.siom79.jopenapicmp:jopenapicmp,jopenapicmp.model.openapi,Tag,32,0,0,0,6,0,8,0,8,0
io.github.siom79.jopenapicmp:jopenapicmp,jopenapicmp.model.openapi,License,15,17,0,0,2,4,3,5,3,5
io.github.siom79.jopenapicmp:jopenapicmp,jopenapicmp.model.openapi,ExternalDocumentation,23,0,0,0,5,0,6,0,6,0
io.github.siom79.jopenapicmp:jopenapicmp,jopenapicmp.model.openapi,OAuthFlow,46,0,0,0,7,0,10,0,10,0
io.github.siom79.jopenapicmp:jopenapicmp,jopenapicmp.model.openapi,Header,41,0,0,0,7,0,10,0,10,0
